names,scores,logfoldchanges,pvals,pvals_adj
HES4,1.7905319,,0.07336844005237096,1.0
CARHSP1,1.7898122,,0.07348409827479832,1.0
DPEP2,1.7898122,,0.07348409827479832,1.0
CD200,1.7890925,,0.07359990556899124,1.0
ALKBH7,1.7869335,,0.07394822320306216,1.0
TNRC6B,1.7797369,,0.07511902604216898,1.0
SERINC2,1.7711009,,0.0765439228452453,1.0
C20orf24,1.7696615,,0.07678353461423865,1.0
CTGF,1.7667829,,0.0772645925157003,1.0
SEC11A,1.7624649,,0.07799078117305278,1.0
LYVE1,1.7624649,,0.07799078117305278,1.0
LAMTOR2,1.7567075,,0.07896766727816679,1.0
ADGRG3,1.7509502,,0.07995448367362946,1.0
PIK3R3,1.7495109,,0.08020274733710649,1.0
TGFB1,1.7495109,,0.08020274733710649,1.0
MRPL32,1.7480716,,0.08045163694870977,1.0
LIMD2,1.7466322,,0.08070115356972503,1.0
SSR3,1.7459126,,0.08082614734043377,1.0
NAA38,1.7451929,,0.08095129826150997,1.0
THBS1,1.7423142,,0.08145347610314473,1.0
IFI16,1.7408749,,0.08170551137601459,1.0
H2AFJ,1.7401552,,0.08183176606489785,1.0
EIF6,1.7387159,,0.08208475021106992,1.0
LSM4,1.7336782,,0.08297519372525387,1.0
ACTB,1.7322389,,0.08323103882383205,1.0
SYNPO,1.7279209,,0.08400241048793651,1.0
CTSA,1.7257619,,0.08439026084657504,1.0
SECISBP2,1.7221636,,0.08503989720333541,1.0
PTRHD1,1.7192849,,0.08556251302640856,1.0
DNAJB4,1.7192849,,0.08556251302640856,1.0
BRI3,1.7092096,,0.08741214374055188,1.0
CTSD,1.7063309,,0.08794649477386073,1.0
CDC42,1.6991342,,0.08929390226948705,1.0
LAMTOR1,1.6976949,,0.08956536880791909,1.0
ZC3H8,1.6955359,,0.08997381423398906,1.0
POLG2,1.6948162,,0.09011029540411226,1.0
ANG,1.6926572,,0.09052073885293437,1.0
VPS13C,1.6919376,,0.09065788709008368,1.0
GTF3C6,1.6904982,,0.09093268499007806,1.0
THSD4,1.6904982,,0.09093268499007806,1.0
CTB-50L17.14,1.6904982,,0.09093268499007806,1.0
MIR4458HG,1.6904982,,0.09093268499007806,1.0
ST13,1.6854606,,0.09189975650741637,1.0
ITM2A,1.6797032,,0.09301508106569038,1.0
SPHK1,1.6689081,,0.0951355800322967,1.0
CRTAP,1.6617115,,0.09657063436085107,1.0
LYL1,1.6588328,,0.09714948276962336,1.0
C2orf74,1.6573935,,0.09743994547612886,1.0
VCAN,1.6559541,,0.0977311019210435,1.0
LGALS3,1.6552345,,0.09787694062426074,1.0
VDAC2,1.6545148,,0.09802295315666185,1.0
FUNDC2,1.6530755,,0.09831550023490716,1.0
RAB5C,1.6444395,,0.10008545425862009,1.0
RELN,1.6444395,,0.10008545425862009,1.0
C14orf166,1.6394018,,0.101129603510119,1.0
C1orf21,1.6394018,,0.101129603510119,1.0
SLCO2A1,1.6365231,,0.1017301450928053,1.0
HS3ST2,1.6300461,,0.10309174489941582,1.0
